layer,tensor,c_norm,ref_norm,best_scale,sc_inv_eps
9,attn.q_pre_rope,116642.20029646218,24.619497587403224,0.00019360174889943057,0.39832135643307376
9,attn.k_pre_rope,115360.74390363474,25.214891475669482,0.00020266952135540917,0.3744822521548553
9,attn.v,362349.81061537756,91.4051576950303,0.00025037502167051174,0.12191351410531448
9,attn_sub_norm.output,117441.170770731,17.93569357081105,0.0001453534908659353,0.3068419914656146
9,post_attention_layernorm.output,117353.79356032766,24.851717848518575,0.00018832265836635087,0.4573441925738091
9,ffn.up_proj,1689244.5591000137,3332.252680997119,0.0017387234875212334,0.47232492076373483
9,ffn_sub_norm.output,244235.9827339125,31.7276255828965,9.193421123995518e-05,0.7065130073253819
9,block_output,722191320.1536098,155372.09781279907,0.00021103846199712129,0.19432907517714362
10,input_layernorm.output,1278.8877980495397,0.28330205441242023,0.00019598889759082897,0.46609059316247775
10,attn.q_pre_rope,131549.69432879728,26.819493009849744,0.00018969140804961476,0.36645206905078753
10,attn.k_pre_rope,149638.41982258434,31.619862033863026,0.0001972003925856211,0.3592670827867766
10,attn.v,284655.4270675337,72.02042418221929,0.0002494441888204981,0.16727780370848427
10,attn_sub_norm.output,94683.56053719146,13.32135394141001,0.00011813148961905511,0.5431469880925486
10,post_attention_layernorm.output,119526.99051678662,24.55825400651829,0.0001839332354661615,0.445628873521317
10,ffn.up_proj,1679811.6552548383,3128.636419409927,0.001639397800188553,0.47457108281779625
10,ffn_sub_norm.output,242346.03940440208,19.665723936854626,5.7549565178369173e-05,0.7050084843678208
10,block_output,762100995.8972176,160683.93963388383,0.0002070670004167669,0.18841638974454217
11,input_layernorm.output,1209.9086742395064,0.2566106933305644,0.00018901833522897967,0.4535839869456339
11,attn.q_pre_rope,143129.6025949908,28.89858310440351,0.00019072867997638117,0.3280924238352309
11,attn.k_pre_rope,167314.2317586881,34.6744463715183,0.00019678436139785964,0.3136415561721757
11,attn.v,294791.4402505609,71.39445719541433,0.0002391533398163086,0.15776539298570738
11,attn_sub_norm.output,134018.63301795017,19.131469476097084,0.00012467360597635777,0.48708219095000926
11,post_attention_layernorm.output,126745.81245153624,25.39477309246664,0.00018078281939821268,0.43112834963939795
11,ffn.up_proj,1990217.5339364288,3533.4401477761176,0.0016061388784290847,0.4261318361862591
11,ffn_sub_norm.output,209708.98891082374,21.11043250371653,7.602150039925516e-05,0.655505716739588
11,block_output,792663550.735328,165054.84979157307,0.00020472323366479267,0.1827038549388041
12,input_layernorm.output,1082.869798267548,0.23324850998812438,0.00019476004674455773,0.42714134639248735
12,attn.q_pre_rope,130543.08067071192,28.47235493769412,0.00020818307271109734,0.2982112674736161
12,attn.k_pre_rope,153975.5799274677,30.407467008245533,0.00018830561461137118,0.3012945309335933
12,attn.v,256823.77537136237,60.755774810466264,0.0002332665927417305,0.16643229408107607
12,attn_sub_norm.output,162902.12288058127,21.82975346486512,0.00011742549351789236,0.4818117155539793
12,post_attention_layernorm.output,123610.07202085112,24.665273366087014,0.00018063422008429553,0.42488189183557407
12,ffn.up_proj,1990787.0173994002,3569.037473755555,0.001624916101924304,0.42248879619459084
12,ffn_sub_norm.output,162089.4726470538,41.459558905449896,0.00017464475383732902,0.7306168514834505
12,block_output,811149582.4415509,167882.1149754461,0.00020329088075669518,0.1876667430176547
13,input_layernorm.output,1197.8522446445554,0.2424189479230507,0.00018304091669331155,0.4265782898517919
13,attn.q_pre_rope,140312.75731023177,26.90014843800173,0.00018351290576618633,0.2893806073963246
13,attn.k_pre_rope,144171.9062959216,29.00085972323418,0.0001910075311694382,0.3135996545286163
13,attn.v,329193.12742522435,76.18077609326947,0.0002288488128277422,0.14855753394973825
13,attn_sub_norm.output,173103.46352687458,39.96497188276773,0.00020440755691398854,0.46489328992966755
13,post_attention_layernorm.output,121106.15604914557,24.395798179034134,0.00018241353399924982,0.4242581992017048
13,ffn.up_proj,1829013.0346875608,3321.842875740159,0.0016021459801691894,0.4709785956925813
13,ffn_sub_norm.output,186763.09056395484,18.166012108345583,6.795993335265607e-05,0.7154247529750223
13,block_output,836255772.4387324,170896.1082443896,0.0002007496987417972,0.18710423075119453
14,input_layernorm.output,1256.852019929156,0.2551200250740306,0.000183102232235187,0.43162015141871324
14,attn.q_pre_rope,147342.71185912116,29.351879457857443,0.00019134985408075846,0.27810045312933973
14,attn.k_pre_rope,196989.69984494112,35.982895632592204,0.00017133700472695212,0.346660143832388
14,attn.v,487021.27167404094,118.64044763330723,0.0002425815163977482,0.09153681445690957
14,attn_sub_norm.output,133535.10999733367,19.194852136164933,0.00012396910829008638,0.5061752663248734
14,post_attention_layernorm.output,120780.17436649112,24.347328108952343,0.00018172139504975737,0.4328453580770586
14,ffn.up_proj,1753936.0500591234,3162.1443508131306,0.0015963999645522244,0.4646968526033354
14,ffn_sub_norm.output,223695.5173153901,23.881684853298157,8.200099810915457e-05,0.6403432899363828
14,block_output,874371950.7373568,175444.81351384043,0.0001970617804781111,0.18833226779366996
15,input_layernorm.output,1138.6496388266235,0.22870312359833622,0.00017946090375278552,0.4490905751639886
15,attn.q_pre_rope,143829.30572730995,29.62260493972576,0.000196457921761079,0.3001886028950703
15,attn.k_pre_rope,165702.4908322141,35.0103573201142,0.00019800586575307387,0.3489184048455852
15,attn.v,268943.87932243414,66.24434689819729,0.00024199817554811334,0.186353550286215
15,attn_sub_norm.output,224894.0101892445,33.79651209302332,0.00011803162945356401,0.6189575543229373
15,post_attention_layernorm.output,131435.99965001977,25.94906956464798,0.00017641477346497673,0.4489283336508033
15,ffn.up_proj,1964407.3165033774,3363.324688675147,0.0014970909183265953,0.48520296006768593
15,ffn_sub_norm.output,270743.23494595394,32.68057389774214,7.73752270560424e-05,0.7675262759896129
15,block_output,914576444.772955,181669.80422587774,0.00019522036824722036,0.18470631108277413
16,input_layernorm.output,974.5291170611579,0.2098646092095863,0.00019024160870103333,0.46860542482838885
16,attn.q_pre_rope,129439.56325637073,30.933411561474134,0.0002266976914765256,0.316456622955919
16,attn.k_pre_rope,171536.29566945884,35.358170711205396,0.00019686645000927905,0.2963608654813898
16,attn.v,261540.9188176871,61.819154793716535,0.0002336106837689972,0.1522200800056513
16,attn_sub_norm.output,204587.69938830633,30.57297934647708,0.00012119608960253063,0.5850215356553803
16,post_attention_layernorm.output,128785.02476608062,24.937306098821026,0.0001716030771799808,0.46326714496157717
16,ffn.up_proj,2082808.6000007298,3493.121182177994,0.0014916094919664876,0.4571547933795881
16,ffn_sub_norm.output,214900.63355886133,34.66547352404294,0.000110145471511889,0.7305852177986175
16,block_output,954697171.9239868,188980.79537850036,0.00019467000991892983,0.18124450402630002
17,input_layernorm.output,1036.8789707579183,0.22279398772712586,0.00018772708657342898,0.48650412183584224
17,attn.q_pre_rope,122102.29752547656,29.04041824474575,0.00022220279745251918,0.35657713608668995
17,attn.k_pre_rope,193162.27941811,39.28781492025391,0.00019370906814249148,0.30488535087784635
17,attn.v,365581.9798636142,83.2483511079537,0.00022577980589021194,0.13008029041352395
17,attn_sub_norm.output,197532.53365711684,26.271515022241672,9.94092374874291e-05,0.6643217249737308
17,post_attention_layernorm.output,129559.15735678432,24.889296333253583,0.00016893748524805474,0.47610212422353115
17,ffn.up_proj,2082616.7041260856,3392.837527250894,0.001431839450394141,0.477001803707864
17,ffn_sub_norm.output,300782.8938686507,30.71696588554028,6.223104585998646e-05,0.7928850815252084
17,block_output,998234063.7230394,193786.350806204,0.00019081392510986075,0.1840201208464577
18,input_layernorm.output,1023.3806720863943,0.22300543516792934,0.0001883252679391298,0.5030934341170272
18,attn.q_pre_rope,131214.9555690966,30.905842254329805,0.00022252025846166614,0.32782054080287887
18,attn.k_pre_rope,154401.85270261494,33.9643131292342,0.00021038399385197982,0.2920398083098335
18,attn.v,339119.0676871473,78.8778021624425,0.00022907239829331538,0.17340735525836373
18,attn_sub_norm.output,291587.1947548452,46.103728827367675,0.00011819281511811414,0.6642380314814005
18,post_attention_layernorm.output,126813.74288301721,24.432862865215846,0.00016718042607132748,0.49706104937442064
18,ffn.up_proj,2123631.064330855,3337.698857773756,0.0013626923541093141,0.49827117436883467
18,ffn_sub_norm.output,300116.76711573446,39.898342522445034,3.946684202424806e-05,0.9549175914590262
18,block_output,1048937475.7626466,203072.35420972804,0.0001904219933531044,0.18039592406764787
19,input_layernorm.output,1093.3809948961066,0.2227419374812121,0.00017099279442449918,0.5435787084219356
19,attn.q_pre_rope,153400.17434149154,32.47745532224996,0.00020119255924315582,0.3113687791974119
19,attn.k_pre_rope,152295.61849902314,30.84339338345533,0.0001932960363328472,0.2984058973861719
19,attn.v,358305.10192711465,81.38240966001423,0.00022417623042437509,0.1607920180437999
19,attn_sub_norm.output,312101.7285982249,40.86205320119864,0.00010300387344951046,0.6172884069006803
19,post_attention_layernorm.output,131332.3513914222,24.13444007958015,0.00015830317040273423,0.5078624816667494
19,ffn.up_proj,2295782.6790393293,3227.3795092118175,0.001224283963992848,0.49147942273520445
19,ffn_sub_norm.output,558309.7532239608,39.07824215303756,3.8783275342828905e-05,0.8324530608890967
19,block_output,1104022904.1429513,209078.3004785907,0.00018603836639171067,0.18698803127923447
20,input_layernorm.output,1106.5315178520673,0.2183361413678966,0.0001617344235193737,0.5728317331704676
20,attn.q_pre_rope,122549.11122484732,25.98039131923176,0.00019109864075630325,0.4329678039504307
20,attn.k_pre_rope,177005.9171299084,32.07763096169709,0.00016969651696160262,0.35095166013099605
20,attn.v,347109.0680304967,75.0778566272127,0.00021408872033011283,0.14245706977567815
